Donation Id,Donor ID,Received Date,Created At,Amount,Deductible Amount,Total Donation Amount,Splits,Fund,Donation Type,Check Number,Check Date,Check Memo,Memo,Source,Transaction ID,Transaction Net,Letter Sent,Email Sent,Is Company?
9920415,9132493,9-Jun-21,"Monday, June 14, 2021 at 10:12 PM",10,10,10,$10.00 for General Support (Cabin Fever Raffle),General Support,Online Donation,,,,Cabin Fever Raffle,Individual Contributions,,10,,,FALSE
9920418,6769814,9-Jun-21,"Monday, June 14, 2021 at 10:13 PM",50,50,50,$50.00 for General Support (Cabin Fever Raffle),General Support,Online Donation,,,,Cabin Fever Raffle,Individual Contributions,,50,,,FALSE
9920420,7688027,10-Jun-21,"Monday, June 14, 2021 at 10:14 PM",50,50,50,$50.00 for Targeted Donations (Cabin Fever Raffle),Targeted Donations,Online Donation,,,,Cabin Fever Raffle,Individual Contributions,,50,,,FALSE
9920424,7304315,10-Jun-21,"Monday, June 14, 2021 at 10:18 PM",50,50,50,$50.00 for Targeted Donations (Cabin Fever Raffle),Targeted Donations,Online Donation,,,,Cabin Fever Raffle,Individual Contributions,,50,,,FALSE
9920427,6237562,10-Jun-21,"Monday, June 14, 2021 at 10:19 PM",25,25,25,$25.00 for Targeted Donations (Cabin Fever Raffle),Targeted Donations,Online Donation,,,,Cabin Fever Raffle,Individual Contributions,,25,,,FALSE
9920467,6362975,10-Jun-21,"Monday, June 14, 2021 at 11:16 PM",100,100,100,$100.00 for Targeted Donations (Cabin Fever Raffle),Targeted Donations,Online Donation,,,,Cabin Fever Raffle,Individual Contributions,,100,,,FALSE
9920469,9132516,10-Jun-21,"Monday, June 14, 2021 at 11:17 PM",100,100,100,$100.00 for Targeted Donations (Cabin Fever Raffle),Targeted Donations,Online Donation,,,,Cabin Fever Raffle,Individual Contributions,,100,,,FALSE
9920471,9101326,10-Jun-21,"Monday, June 14, 2021 at 11:19 PM",50,50,50,$50.00 for Targeted Donations (Cabin Fever Raffle),Targeted Donations,Online Donation,,,,Cabin Fever Raffle,Individual Contributions,,50,,,FALSE
9920472,6569165,10-Jun-21,"Monday, June 14, 2021 at 11:20 PM",100,100,100,$100.00 for Targeted Donations (Cabin Fever Raffle),Targeted Donations,Online Donation,,,,Cabin Fever Raffle,Individual Contributions,,100,,,FALSE
9920487,9103866,10-Jun-21,"Monday, June 14, 2021 at 11:36 PM",100,100,100,$100.00 for Targeted Donations (Cabin Fever Raffle),Targeted Donations,Online Donation,,,,Cabin Fever Raffle,Individual Contributions,,100,,,FALSE
9920490,6915534,10-Jun-21,"Monday, June 14, 2021 at 11:39 PM",25,25,25,$25.00 for Targeted Donations (Cabin Fever Raffle),Targeted Donations,Online Donation,,,,Cabin Fever Raffle,Individual Contributions,,25,,,FALSE
9921392,6759096,10-Jun-21,"Tuesday, June 15, 2021 at 06:17 PM",100,100,100,$100.00 for Targeted Donations (Cabin Fever Raffle),Targeted Donations,Online Donation,,,,Cabin Fever Raffle,Individual Contributions,,100,,,FALSE
9921393,6737225,10-Jun-21,"Tuesday, June 15, 2021 at 06:18 PM",10,10,10,$10.00 for Targeted Donations (Cabin Fever Raffle),Targeted Donations,Online Donation,,,,Cabin Fever Raffle,Individual Contributions,,10,,,FALSE
9921396,9089227,10-Jun-21,"Tuesday, June 15, 2021 at 06:20 PM",25,25,25,$25.00 for Targeted Donations (Cabin Fever Raffle),Targeted Donations,Online Donation,,,,Cabin Fever Raffle,Individual Contributions,,25,,,FALSE
9921398,9132761,10-Jun-21,"Tuesday, June 15, 2021 at 06:22 PM",50,50,50,$50.00 for Targeted Donations (Cabin Fever Raffle),Targeted Donations,Online Donation,,,,Cabin Fever Raffle,Individual Contributions,,50,,,FALSE
9921399,9132762,10-Jun-21,"Tuesday, June 15, 2021 at 06:23 PM",50,50,50,$50.00 for Targeted Donations (Cabin Fever Raffle),Targeted Donations,Online Donation,,,,Cabin Fever Raffle,Individual Contributions,,50,,,FALSE
